"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.718470000E-3,6.300000101E-2,6.900000572E-2,9.642000198E0
7.706085000E-3,7.005000114E-2,9.795000404E-2,9.678000450E0
9.693547000E-3,6.599999964E-2,8.595000207E-2,9.709050179E0
1.168123900E-2,5.100000277E-2,1.140000075E-1,9.727950096E0
1.366916200E-2,6.300000101E-2,8.100000024E-2,9.703950882E0
1.565685400E-2,5.595000088E-2,9.000000358E-2,9.721050262E0
1.764454700E-2,1.995000057E-2,8.805000782E-2,9.738000870E0
1.963223900E-2,3.900000080E-2,9.300000221E-2,9.763950348E0
2.161993100E-2,4.395000264E-2,7.395000011E-2,9.751950264E0
2.360762300E-2,2.505000122E-2,8.100000024E-2,9.757050514E0
2.560738400E-2,7.950000465E-3,7.605000585E-2,9.733050346E0
2.760708300E-2,1.005000062E-2,8.295000345E-2,9.694950104E0
2.960678200E-2,1.050000079E-3,7.800000161E-2,9.703950882E0
3.160648100E-2,-1.200000010E-2,8.100000024E-2,9.682950020E0
3.360618000E-2,0.000000000E0,6.900000572E-2,9.679950714E0
3.560587900E-2,1.005000062E-2,7.605000585E-2,9.682950020E0
3.760557800E-2,-7.950000465E-3,8.805000782E-2,9.706950188E0
3.960527700E-2,-1.200000010E-2,9.300000221E-2,9.727950096E0
4.160497600E-2,1.050000079E-3,9.300000221E-2,9.762000084E0
4.360467500E-2,-1.995000057E-2,6.599999964E-2,9.721050262E0
4.560437400E-2,-2.700000070E-2,7.605000585E-2,9.775950432E0
4.760407300E-2,-2.895000204E-2,6.405000389E-2,9.771000862E0
4.960377200E-2,-1.200000010E-2,6.405000389E-2,9.738000870E0
5.160347100E-2,-2.700000070E-2,8.100000024E-2,9.757050514E0
5.360317000E-2,-4.395000264E-2,8.100000024E-2,9.766950607E0
5.560286900E-2,-4.095000029E-2,6.900000572E-2,9.745050430E0
5.760256800E-2,-3.600000218E-2,7.095000148E-2,9.726000786E0
5.960226700E-2,-5.100000277E-2,6.599999964E-2,9.733050346E0
6.160196600E-2,-3.900000080E-2,5.895000324E-2,9.736050606E0
6.360166500E-2,-2.895000204E-2,6.599999964E-2,9.718950272E0
6.560136400E-2,-3.900000080E-2,5.205000192E-2,9.715950012E0
6.760106300E-2,-4.605000094E-2,6.195000187E-2,9.733050346E0
6.960076200E-2,-2.700000070E-2,7.395000011E-2,9.727950096E0
7.160046100E-2,-3.600000218E-2,8.100000024E-2,9.733050346E0
7.360016000E-2,-1.200000010E-2,7.605000585E-2,9.763950348E0
7.559985900E-2,6.000000052E-3,8.805000782E-2,9.738000870E0
7.759955800E-2,-7.950000465E-3,7.095000148E-2,9.718950272E0
7.959925700E-2,-1.500000060E-2,8.100000024E-2,9.745050430E0
8.159895600E-2,0.000000000E0,9.795000404E-2,9.738000870E0
8.359865500E-2,1.995000057E-2,9.000000358E-2,9.721050262E0
8.559835400E-2,3.000000026E-3,1.000500023E-1,9.721050262E0
8.759805300E-2,2.505000122E-2,6.900000572E-2,9.714000702E0
8.959775200E-2,2.505000122E-2,9.300000221E-2,9.712050438E0
9.159745100E-2,3.195000067E-2,8.100000024E-2,9.733050346E0
9.359715000E-2,3.405000269E-2,9.495000541E-2,9.738000870E0
9.559684900E-2,1.800000109E-2,9.495000541E-2,9.718950272E0
9.759654800E-2,3.900000080E-2,1.020000055E-1,9.750000000E0
9.959624700E-2,5.100000277E-2,1.020000055E-1,9.736050606E0
1.015959460E-1,5.805000290E-2,9.795000404E-2,9.712050438E0
1.035956450E-1,6.105000153E-2,8.295000345E-2,9.709050179E0
1.055953440E-1,6.105000153E-2,8.295000345E-2,9.706950188E0
1.086264210E-1,5.595000088E-2,8.295000345E-2,9.706950188E0
