"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.317634500E-2,4.256250381E0,-2.874375153E1,-4.638750076E1
6.316548900E-2,-6.562500000E-1,-3.480000305E1,-4.770000076E1
8.316982400E-2,-7.875000238E-1,-3.431250000E1,-4.710000229E1
1.031690610E-1,-9.562500119E-1,-3.384375000E1,-4.674375153E1
1.231458970E-1,-1.200000048E0,-3.360000229E1,-4.638750076E1
1.431158480E-1,-1.387500048E0,-3.311250305E1,-4.595625305E1
1.630810020E-1,-1.743750095E0,-3.275625229E1,-4.554375076E1
1.830916210E-1,-1.743750095E0,-3.234375000E1,-4.541250229E1
2.030987120E-1,-1.856250048E0,-3.228750229E1,-4.518750000E1
2.231372890E-1,-1.987500072E0,-3.251250076E1,-4.524375153E1
2.431654420E-1,-1.856250048E0,-3.228750229E1,-4.518750000E1
2.631556470E-1,-2.043750048E0,-3.234375000E1,-4.518750000E1
2.831769260E-1,-1.987500072E0,-3.234375000E1,-4.541250229E1
3.031659300E-1,-2.287500143E0,-3.198750114E1,-4.505625153E1
3.231396520E-1,-2.587500095E0,-3.191250038E1,-4.488750076E1
3.431363390E-1,-2.700000048E0,-3.191250038E1,-4.505625153E1
3.631329970E-1,-2.700000048E0,-3.204375076E1,-4.541250229E1
3.831372850E-1,-2.587500095E0,-3.185625076E1,-4.541250229E1
4.031720580E-1,-2.400000095E0,-3.191250038E1,-4.554375076E1
4.231763320E-1,-2.400000095E0,-3.191250038E1,-4.560000229E1
4.431729900E-1,-2.287500143E0,-3.234375000E1,-4.560000229E1
4.631567110E-1,-2.343750000E0,-3.234375000E1,-4.560000229E1
4.831227690E-1,-2.343750000E0,-3.264375305E1,-4.578750229E1
5.030948980E-1,-2.400000095E0,-3.270000076E1,-4.614375305E1
5.230629030E-1,-2.512500048E0,-3.288750076E1,-4.614375305E1
5.430700560E-1,-2.643750191E0,-3.288750076E1,-4.614375305E1
5.630660320E-1,-2.812500000E0,-3.318750000E1,-4.644375229E1
5.830872520E-1,-2.700000048E0,-3.348750305E1,-4.661250305E1
6.031201600E-1,-2.887500048E0,-3.311250305E1,-4.638750076E1
6.231268480E-1,-2.812500000E0,-3.324375153E1,-4.674375153E1
6.431623270E-1,-2.887500048E0,-3.294375229E1,-4.655625153E1
6.631437260E-1,-2.756250143E0,-3.348750305E1,-4.655625153E1
6.831479570E-1,-2.643750191E0,-3.348750305E1,-4.625625229E1
7.031521930E-1,-2.512500048E0,-3.384375000E1,-4.655625153E1
7.231488800E-1,-2.512500048E0,-3.348750305E1,-4.620000076E1
7.431760330E-1,-2.343750000E0,-3.348750305E1,-4.601250076E1
7.631726570E-1,-2.212500095E0,-3.365625000E1,-4.644375229E1
7.831693590E-1,-2.212500095E0,-3.354375076E1,-4.608750153E1
8.031600600E-1,-2.212500095E0,-3.365625000E1,-4.625625229E1
8.231331080E-1,-2.100000143E0,-3.365625000E1,-4.614375305E1
8.431121560E-1,-2.212500095E0,-3.365625000E1,-4.625625229E1
8.630871890E-1,-2.456250191E0,-3.335625076E1,-4.608750153E1
8.830943670E-1,-2.456250191E0,-3.335625076E1,-4.614375305E1
9.030853380E-1,-2.587500095E0,-3.305625153E1,-4.644375229E1
9.230995540E-1,-2.456250191E0,-3.318750000E1,-4.614375305E1
9.431254720E-1,-2.512500048E0,-3.360000229E1,-4.650000000E1
9.631251590E-1,-2.456250191E0,-3.341250229E1,-4.650000000E1
9.831586110E-1,-2.456250191E0,-3.305625153E1,-4.650000000E1
1.003147636E0,-2.456250191E0,-3.300000000E1,-4.661250305E1
1.023151896E0,-2.456250191E0,-3.341250229E1,-4.650000000E1
1.043156126E0,-2.643750191E0,-3.341250229E1,-4.650000000E1
1.063152785E0,-2.400000095E0,-3.335625076E1,-4.631250000E1
1.083172347E0,-2.643750191E0,-3.300000000E1,-4.631250000E1
1.103169025E0,-2.587500095E0,-3.275625229E1,-4.631250000E1
1.123165717E0,-2.456250191E0,-3.275625229E1,-4.608750153E1
1.143163408E0,-2.700000048E0,-3.264375305E1,-4.608750153E1
1.163127403E0,-2.756250143E0,-3.245625305E1,-4.578750229E1
1.183113459E0,-2.400000095E0,-3.210000229E1,-4.578750229E1
1.203095482E0,-2.212500095E0,-3.228750229E1,-4.578750229E1
1.223097468E0,-2.456250191E0,-3.234375000E1,-4.578750229E1
1.243104655E0,-2.587500095E0,-3.228750229E1,-4.590000153E1
1.263119429E0,-2.400000095E0,-3.228750229E1,-4.578750229E1
1.283138356E0,-2.512500048E0,-3.240000153E1,-4.614375305E1
1.303136197E0,-2.512500048E0,-3.240000153E1,-4.601250076E1
1.323162668E0,-2.456250191E0,-3.234375000E1,-4.614375305E1
1.343144023E0,-2.643750191E0,-3.234375000E1,-4.614375305E1
1.363155960E0,-2.812500000E0,-3.215625000E1,-4.608750153E1
1.383160297E0,-2.700000048E0,-3.234375000E1,-4.608750153E1
